RECORD,hbpermin,Pseg,PQseg,QRSseg,QRseg,QTseg,RSseg,STseg,Tseg,PTseg,ECGseg,QRtoQSdur,RStoQSdur,RRmean,PPmean,PQdis,PonQdis,PRdis,PonRdis,PSdis,PonSdis,PTdis,PonTdis,PToffdis,QRdis,QSdis,QTdis,QToffdis,RSdis,RTdis,RToffdis,STdis,SToffdis,PonToffdis,PonPQang,PQRang,QRSang,RSTang,STToffang,RRTot,NNTot,SDRR,IBIM,IBISD,SDSD,RMSSD,QRSarea,QRSperi,PQslope,QRslope,RSslope,STslope,NN50,pNN50,ECG_signal
1,74.92566898,0.076507937,0.108888889,0.088253968,0.043571429,0.193015873,0.04468254,0.104761905,0.13047619,0.301904762,0.426111111,0.00137136,0.001406417,291.7941176,291.7352941,39.1511507,55.14889299,54.82706928,70.82738518,70.9137287,86.91274002,108.6470704,124.6470773,137.9118204,15.72140062,31.76473219,69.50191974,98.76569857,16.12910653,53.82771144,83.09159669,37.73834296,67.00123111,153.9117649,1.245455336,-5.127080542,8.356354097,-4.774443547,0.870489841,35,34,17.13232138,291.7941176,17.38996473,27.15848125,292.2966362,18.45761771,63.61523934,-0.014363632,0.075269975,-0.070845897,0.012606421,2,5.882352941,ARR
2,68.50346878,0.072482639,0.096180556,0.093923611,0.046267361,0.193489583,0.04765625,0.099565972,0.089149306,0.289670139,0.366666667,0.00136838,0.001409398,318.3870968,318.3225806,34.5884368,46.48700599,51.26238856,63.16713082,68.42259525,80.32396794,104.2258425,116.1290835,119.9356625,16.73606665,33.83878695,69.6481826,85.35646718,17.21291956,52.97305923,68.68295544,35.81116163,51.51817786,131.8387104,2.151592964,-6.003336949,9.217430261,-5.355691659,1.370319766,32,31,10.612462,318.3870968,10.78788648,9.665517173,318.5639147,23.04323007,67.78777317,-0.021207427,0.0837726,-0.077458173,0.016175172,1,3.225806452,ARR
3,83.48860258,0.071153846,0.086609687,0.039529915,0.018589744,0.132478632,0.020940171,0.092948718,0.094444444,0.219088319,0.293233618,NaN,NaN,259.7631579,259.5263158,31.26622603,42.5378226,38.13126758,49.4060277,45.86732328,57.14120996,79.23823389,90.52672461,94.76523921,6.896066543,14.60644194,48.01302116,63.53183956,7.751318531,41.14277717,56.66424336,33.40804732,48.92607305,106.0528681,NaN,NaN,NaN,NaN,2.999565272,39,38,84.51298069,259.7631579,85.64743388,111.8166936,273.1654116,10.7563531,29.25382701,-0.042541938,NaN,NaN,0.027131445,16,42.10526316,ARR
4,68.50346878,0.0828125,0.108159722,0.090364583,0.045225694,0.188802083,0.045138889,0.0984375,0.08828125,0.296961806,0.373177083,0.001390204,0.001387574,312.8387097,312.8387097,38.9416662,54.77717765,55.23158513,71.07050981,71.48675197,87.3241235,106.9032359,122.741968,118.4516932,16.35855467,32.54843165,67.97090563,79.51807409,16.32175081,51.68418801,63.23273066,35.42450992,46.97044928,134.2903244,NaN,-6.253180015,10.29386121,-6.03596116,1.462617256,32,31,11.41616504,312.8387097,11.60487476,11.19325194,313.0469407,23.84508554,65.22873713,-0.017806025,0.091590943,-0.088558945,0.017021739,2,6.451612903,ARR
5,82.08,0.070760234,0.102631579,0.101023392,0.049415205,0.19371345,0.051608187,0.092690058,0.085964912,0.296345029,0.375073099,0.001358812,0.001418966,260.7837838,260.8648649,37.0051304,49.97479903,54.7864192,67.76062879,73.38103227,86.35245238,106.7567923,119.7297806,122.189359,17.82102154,36.37838615,69.75881918,85.19019083,18.63094486,51.97661422,67.40945415,33.38282237,48.8126324,135.162163,1.79138491,-4.64693075,7.254627695,-4.489193101,1.382357378,38,37,35.7711458,260.7837838,36.26456423,60.24599777,263.2256765,20.94279119,72.83035256,-0.016650194,0.064546709,-0.062245938,0.016191128,2,5.405405405,ARR
6,66.96,0.070250896,0.061917563,0.090949821,0.045967742,0.191218638,0.044982079,0.100268817,0.097132616,0.253136201,0.330286738,0.001403823,0.001373955,313.9333333,313.9333333,22.27948206,37.63915652,38.8404769,54.20710138,55.03741072,70.40214442,91.13335343,106.5000463,103.5334591,16.63406337,32.76678126,68.87019319,81.26880967,16.26155545,52.30608055,64.70631703,36.10526274,48.50267081,118.9000174,NaN,-7.10419411,10.1368609,-5.957746043,1.470472476,31,30,39.66857138,313.9333333,40.34671574,13.81171159,316.4296657,23.78712881,65.66240008,-0.03402993,0.090221997,-0.087167558,0.017037738,3,10,ARR
7,69.12,0.085243056,0.098611111,0.113368056,0.055034722,0.197569444,0.058333333,0.084201389,0.100086806,0.296180556,0.412152778,0.001348238,0.001429539,306.7419355,306.7419355,35.49081015,50.06786979,55.29402684,69.87523719,76.29237474,90.87198431,106.613076,121.1939714,133.5162307,19.85129291,40.80691774,71.13447642,98.03372171,21.03413849,51.32461566,78.22992763,30.33196422,57.22728094,148.0967807,NaN,-4.974294833,7.059589218,-4.611273727,2.132553986,32,31,8.594701075,306.7419355,8.736771875,8.60884558,306.8623207,25.67477606,81.69234913,-0.019779273,0.067143645,-0.056236082,0.024315971,2,6.451612903,ARR
8,59.94053518,0.070039683,0.056448413,0.003373016,0.001686508,0.101686508,0.001686508,0.098313492,0.097519841,0.158134921,0.229960317,NaN,NaN,365.7407407,365.7777778,20.41494121,35.60780926,21.04420323,36.23707128,21.67358733,36.86645538,57.00223649,72.22254921,67.70572283,0.632837582,1.259274463,36.6395223,47.34171564,0.632245279,36.01016878,46.71240127,35.38040148,46.08253798,82.92622685,NaN,NaN,NaN,NaN,NaN,28,27,48.74999912,365.7407407,49.67865398,76.07704947,368.9754082,1.029266175,2.524357324,-0.066071182,NaN,NaN,0.023898773,5,18.51851852,ARR
9,94.19226957,0.055492424,0.093055556,0.111237374,0.055366162,0.179861111,0.055871212,0.068623737,0.090151515,0.272916667,0.357007576,0.001382418,0.00139536,227.7209302,228.2325581,33.56229743,41.97970491,53.51623267,61.93488097,73.63133945,82.04924823,98.32566011,106.7443337,120.3721284,19.98960726,40.07028992,64.77048045,86.81495758,20.16473878,44.81755752,66.86499872,24.71156327,46.74823743,128.7907106,NaN,-4.300345798,7.322165843,-5.838697114,2.462826779,44,43,8.447720434,227.7209302,8.547696937,7.501776056,227.8775681,25.52451509,80.22463597,-0.015832984,0.059302359,-0.068689123,0.033345675,0,0,ARR
10,68.7761194,0.046006944,0.086111111,0.112760417,0.065277778,0.166059028,0.047482639,0.053298611,0.089322917,0.252170139,0.340625,0.001605982,0.001171796,307.6129032,307.6451613,31.0993895,37.84074056,54.55386239,61.29574143,71.65043092,78.39160747,90.80647919,97.5484576,116.0968316,23.48116764,40.55113761,59.71150108,85.00048576,17.17486587,36.26490819,61.55473709,19.18411968,44.45797809,122.8387444,NaN,-3.608548503,8.317865292,-8.239178978,3.198018525,32,31,9.352168696,307.6129032,9.506760469,12.98327985,307.7550345,29.05720274,81.20717113,-0.012932803,0.050094148,-0.095417119,0.048715093,4,12.90322581,ARR
11,85.97014925,0.074097222,0.103125,0.0925,0.047013889,0.197013889,0.045486111,0.104513889,0.125763889,0.300138889,0.400347222,0.001411975,0.001365803,251.6923077,251.7435897,37.0822134,51.59151612,54.03003976,68.54420064,70.38934817,84.89968914,108.0256691,122.538523,129.7181167,16.99954896,33.30828862,70.95084429,92.64196349,16.42814451,54.00541829,75.69762655,37.64830356,59.33645067,144.2307697,1.748962314,-5.390879688,9.679205696,-6.378653763,1.477636643,40,39,5.849189495,251.6923077,5.925652734,7.344132902,251.7602645,23.46277468,66.73598209,-0.016855253,0.077390454,-0.091960361,0.019632035,0,0,ARR
12,58.02985075,0.074074074,0.101028807,0.088786008,0.044444444,0.19382716,0.044341564,0.105041152,0.124897119,0.294855967,0.387860082,0.001390649,0.001387129,371.5,371.5769231,36.4281401,49.69470107,52.42884176,65.6984356,68.38823569,81.65592148,106.1923125,119.4616054,126.423147,16.05969722,31.96171803,69.77191734,90.00126614,16.02996165,53.7747653,74.00555175,37.81433676,58.04131868,139.692308,1.476422937,-5.886541614,10.21848704,-6.358966177,1.483520787,27,26,44.36843126,371.5,45.24709935,60.8834953,374.140091,22.83479729,64.0513769,-0.016665801,0.086291091,-0.092536404,0.018716159,6,23.07692308,ARR
13,60.17910448,0.062103175,0.092857143,0.065277778,0.035019841,0.150793651,0.030257937,0.085515873,0.088988095,0.243650794,0.317956349,NaN,NaN,354.1481481,352.4074074,33.17394028,44.70878444,45.3211872,56.85818689,55.95231569,67.48723006,86.85324129,98.4078693,101.9647698,12.1570658,22.77862152,53.71099281,68.81846213,10.64960221,41.56163596,56.67206502,30.94236277,46.04237575,113.5185233,4.322942183,NaN,NaN,NaN,NaN,28,27,102.3341309,354.1481481,104.2835276,129.5711634,368.6369287,12.14315438,45.58528953,-0.038019062,NaN,NaN,0.032175975,9,33.33333333,ARR
14,62.32835821,0.078448276,0.115613027,0.088601533,0.045402299,0.194731801,0.043199234,0.106130268,0.122126437,0.310344828,0.404310345,0.001423457,0.001354321,345.6785714,345.6785714,41.6113983,57.001903,57.96924949,73.36251014,73.50334513,88.8946984,111.7142928,127.1071761,130.2500708,16.4130435,31.89303927,70.10935831,88.64404759,15.60417692,53.75588496,72.29124138,38.22005533,56.75282749,145.6428573,1.302599652,-5.543617488,10.08814089,-6.356970262,1.299997138,29,28,22.33839355,345.6785714,22.74830652,27.38392387,346.3995938,22.40989398,63.9102597,-0.014289679,0.082655419,-0.093883289,0.017346231,9,32.14285714,ARR
15,49.43283582,0.057125604,0.081521739,0.053502415,0.027415459,0.128985507,0.026086957,0.075483092,0.106280193,0.210507246,0.29673913,NaN,NaN,430.6818182,432.2272727,29.89574387,39.64397928,40.21442003,49.96529281,50.03488591,59.78260906,76.77425203,86.54559899,98.59281148,10.34847176,20.1391748,46.91610227,68.73082761,9.882802141,36.60028705,58.41632854,26.79595186,48.59884957,108.3636471,5.352938155,NaN,NaN,NaN,3.012488137,23,22,19.91433098,430.6818182,20.38296759,29.88170175,431.1419825,15.23298317,40.3704487,-0.043866671,NaN,NaN,0.043363574,8,36.36363636,ARR
16,64.47761194,0.064537037,0.096944444,0.1,0.050648148,0.2,0.049351852,0.1,0.09287037,0.296944444,0.382407407,0.001403199,0.001374579,325.2413793,325.3793103,35.11263489,45.93578336,53.17625894,64.00542445,70.83153536,81.65722648,106.9310917,117.7586726,126.5519516,18.12422222,35.72416458,71.83095999,91.44988166,17.70890512,53.76352333,73.38452324,36.10978443,55.72648785,137.3793345,NaN,-5.810067961,8.957406947,-5.509381323,1.482666303,30,29,89.46687122,325.2413793,91.05047861,163.3671018,337.3222137,25.18722148,71.55729191,-0.022951542,0.078621492,-0.078036603,0.0182815,8,27.5862069,ARR
17,60.17910448,0.090178571,0.095238095,0.102678571,0.051190476,0.199702381,0.051488095,0.09702381,0.093055556,0.294940476,0.382837302,0.001384936,0.001392842,356.8518519,356.8148148,34.26583669,49.48427528,52.70825,67.93108657,71.26221884,86.4829507,106.1481532,121.370424,122.5556538,18.4948319,37.00000916,71.89173721,88.29780582,18.60403638,53.44934812,69.85698624,34.89436807,51.29867884,137.7777782,1.665634525,-5.331218781,8.335197156,-5.134185607,1.441982393,28,27,6.942641741,356.8518519,7.07489442,7.802006266,356.9193809,24.91733425,74.09887743,-0.019521846,0.073664842,-0.072076353,0.017661708,0,0,ARR
18,88.11940299,0.083062331,0.101287263,0.098441734,0.049119241,0.198848238,0.049322493,0.100406504,0.094579946,0.300135501,0.390176152,0.001386039,0.001391739,243.1,243.075,36.48395565,49.75375787,54.15504433,67.43149441,71.92847838,85.20153013,108.0500363,121.3250487,127.175172,17.74263558,35.45014546,71.57862004,90.70197842,17.83375291,53.90634872,73.03115493,36.13030831,55.2522487,140.4500006,2.118621607,-6.272789026,9.655209103,-5.633118223,1.344306307,41,40,7.761443165,243.1,7.860319038,8.143437963,243.2238681,26.52117563,71.02653396,-0.022153146,0.087555255,-0.081363261,0.017134276,1,2.5,ARR
19,49.43283582,0.089613527,0.101449275,0.096618357,0.048188406,0.198188406,0.048429952,0.101570048,0.11884058,0.299637681,0.415217391,0.001385438,0.00139234,434.0909091,434.1363636,36.55007879,56.45633529,53.91468718,73.82376834,71.32191994,91.22923625,107.9090929,127.8182314,129.6364356,17.41661923,34.77304793,71.36584864,93.09197171,17.47417993,54.00586214,75.73278471,36.59782246,58.3212107,149.5454546,1.288305559,-5.37297787,9.403325255,-6.0516593,1.422313699,23,22,10.56541997,434.0909091,10.81405211,17.39314641,434.2194669,24.86514299,69.66384709,-0.015879375,0.078057843,-0.086437399,0.019402996,3,13.63636364,ARR
20,88.11940299,0.058130081,0.091666667,0.062466125,0.031775068,0.160772358,0.030691057,0.098306233,0.097628726,0.252439024,0.321883469,NaN,NaN,243.375,242.15,32.60202019,44.80552649,43.90244793,56.10660658,54.80185079,67.00554269,90.15109802,102.375072,102.9516428,11.31732066,22.20015428,57.58107337,70.37837344,10.92222604,46.2822984,59.07997513,35.38286433,48.17919112,115.1750058,NaN,NaN,NaN,NaN,1.758504184,41,40,64.99603353,243.375,65.82404186,115.1872215,251.9044958,11.2873476,44.43970098,-0.037981668,NaN,NaN,0.019546808,15,37.5,ARR
21,87.77006938,0.069376694,0.099661247,0.095121951,0.047764228,0.194173442,0.047357724,0.099051491,0.102371274,0.293834688,0.383333333,0.001394931,0.001382847,246.2,246.2,35.85563809,46.42865415,53.05584903,63.63085965,70.10271553,80.67691023,105.7500116,116.325027,127.3750549,17.25805122,34.25004166,69.90269315,91.52646705,17.10747048,52.70608243,74.3305284,35.6550924,57.27730327,137.950015,NaN,-5.717043572,9.377996133,-5.647551026,1.294428556,41,40,45.13269325,246.2,45.7076552,57.54159231,250.3026168,24.03217192,68.61556335,-0.017880671,0.082088994,-0.081960723,0.016795796,16,40,ARR
22,51.37760159,0.086342593,0.094444444,0.097453704,0.048842593,0.194560185,0.048611111,0.097106481,0.085532407,0.28900463,0.373958333,0.001392196,0.001385582,405.6086957,405.4782609,33.91995134,50.74191448,51.52730724,68.35388597,69.00336936,85.82771681,103.9130477,120.7391952,117.6522857,17.6677034,35.08695826,70.00307401,83.74076205,17.53744778,52.39719576,66.13682301,34.91915698,48.65495283,134.4782612,1.681273525,-5.836758619,9.38651086,-5.776315751,1.627831178,24,23,12.80875764,405.6086957,13.09663083,14.5928914,405.8108898,25.23691051,70.29210944,-0.020172183,0.081885456,-0.082311087,0.018693623,2,8.695652174,ARR
23,100.6144698,0.066903073,0.100059102,0.096099291,0.048522459,0.190248227,0.047576832,0.094148936,0.105319149,0.290307329,0.385579196,NaN,NaN,214.173913,214.1086957,36.0498717,46.50318694,53.48387965,63.9396342,70.5911593,81.04558835,104.5218551,114.9783113,128.4349242,17.47718057,34.54353596,68.48071777,92.39254642,17.1548176,51.04844752,74.96107252,33.94048318,57.85012697,138.8913287,NaN,NaN,NaN,NaN,1.381034142,47,46,77.39264777,214.173913,78.24784111,98.25611783,227.7280987,22.53869147,69.17553413,-0.019005639,NaN,NaN,0.018291722,20,43.47826087,ARR
24,87.77006938,0.07798103,0.097154472,0.092208672,0.045934959,0.195257453,0.046273713,0.10304878,0.086653117,0.292411924,0.37899729,0.001383756,0.001394022,240.55,240.525,34.95753747,47.27826586,51.50490854,63.83108051,68.15296947,80.47634953,105.2500177,117.5750519,124.0751324,16.61228896,33.20012334,70.30315219,89.12666531,16.70444653,53.75552961,72.58048466,37.10447427,55.92685437,136.4000005,1.980400688,-6.149092076,9.58331469,-5.511942449,1.25920997,41,40,4.206839669,240.55,4.260432144,5.365533956,240.5867827,23.08284642,66.51685883,-0.020757717,0.086786001,-0.080870479,0.015509588,0,0,ARR
25,92.05153617,0.070542636,0.109237726,0.086434109,0.044315245,0.154715762,0.042118863,0.068281654,0.06369509,0.263953488,0.323514212,0.001424314,0.001353463,231.3571429,231.3809524,39.31371413,51.64499496,55.26743974,67.60105183,70.43224266,82.76418824,95.09526017,107.4285833,104.3095937,16.0099319,31.11940496,55.78813136,65.00168752,15.24081955,39.84259962,49.05670663,24.67630921,33.88727497,116.6428594,NaN,-5.681774123,10.48550659,-7.287157637,2.337015844,43,42,7.428456959,231.3571429,7.518502149,7.374328834,231.4763693,22.20560736,62.37015641,-0.014573111,0.084799099,-0.098737377,0.028781361,0,0,ARR
26,89.91080278,0.062433862,0.090013228,0.097685185,0.048544974,0.161640212,0.049140212,0.063955026,0.074272487,0.251653439,0.331349206,0.001380385,0.001397392,238.5121951,238.3658537,32.34779431,43.61193098,49.80937808,61.07941749,67.49313054,78.75872734,90.43902739,101.707516,107.8538897,17.51247331,35.14696231,58.10104348,75.51334865,17.74792871,40.63973079,58.05563067,22.96683171,40.37071038,119.1219527,2.177408796,-5.421566371,9.188955835,-7.020487296,2.84223335,42,41,13.74173268,238.5121951,13.91244398,13.67184607,238.9077279,24.79228339,70.40736434,-0.019802819,0.074965329,-0.085764643,0.036994269,2,4.87804878,ARR
